Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA
4/16/19 0:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/16/19 1:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/16/19 2:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/16/19 3:00,Central Los Angeles,1,1-hr,pphm,18,N/A
4/16/19 4:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/16/19 5:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/16/19 6:00,Central Los Angeles,1.1,1-hr,pphm,18,N/A
4/16/19 7:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/16/19 8:00,Central Los Angeles,1.3,1-hr,pphm,18,N/A
4/16/19 9:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/16/19 10:00,Central Los Angeles,1.5,1-hr,pphm,18,N/A
4/16/19 11:00,Central Los Angeles,1,1-hr,pphm,18,N/A
4/16/19 12:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/16/19 13:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/16/19 14:00,Central Los Angeles,0.4,1-hr,pphm,18,N/A
4/16/19 15:00,Central Los Angeles,0.3,1-hr,pphm,18,N/A
4/16/19 16:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/16/19 17:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/16/19 18:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/16/19 19:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/16/19 20:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/16/19 21:00,Central Los Angeles,2.5,1-hr,pphm,18,N/A
4/16/19 22:00,Central Los Angeles,2.3,1-hr,pphm,18,N/A
4/16/19 23:00,Central Los Angeles,2.5,1-hr,pphm,18,N/A
4/17/19 0:00,Central Los Angeles,2.6,1-hr,pphm,18,N/A
4/17/19 1:00,Central Los Angeles,2.5,1-hr,pphm,18,N/A
4/17/19 2:00,Central Los Angeles,2.5,1-hr,pphm,18,N/A
4/17/19 3:00,Central Los Angeles,2.6,1-hr,pphm,18,N/A
4/17/19 4:00,Central Los Angeles,2.3,1-hr,pphm,18,N/A
4/17/19 5:00,Central Los Angeles,2.2,1-hr,pphm,18,N/A
4/17/19 6:00,Central Los Angeles,2.2,1-hr,pphm,18,N/A
4/17/19 7:00,Central Los Angeles,1.5,1-hr,pphm,18,N/A
4/17/19 8:00,Central Los Angeles,1.3,1-hr,pphm,18,N/A
4/17/19 9:00,Central Los Angeles,1.1,1-hr,pphm,18,N/A
4/17/19 10:00,Central Los Angeles,1.8,1-hr,pphm,18,N/A
4/17/19 11:00,Central Los Angeles,1.6,1-hr,pphm,18,N/A
4/17/19 12:00,Central Los Angeles,1.8,1-hr,pphm,18,N/A
4/17/19 13:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/17/19 14:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/17/19 15:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/17/19 16:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/17/19 17:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/17/19 18:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/17/19 19:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/17/19 20:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/17/19 21:00,Central Los Angeles,2.4,1-hr,pphm,18,N/A
4/17/19 22:00,Central Los Angeles,2.8,1-hr,pphm,18,N/A
4/17/19 23:00,Central Los Angeles,2.6,1-hr,pphm,18,N/A
4/18/19 0:00,Central Los Angeles,2.9,1-hr,pphm,18,N/A
4/18/19 1:00,Central Los Angeles,3,1-hr,pphm,18,N/A
4/18/19 2:00,Central Los Angeles,2.3,1-hr,pphm,18,N/A
4/18/19 3:00,Central Los Angeles,2.6,1-hr,pphm,18,N/A
4/18/19 4:00,Central Los Angeles,2.7,1-hr,pphm,18,N/A
4/18/19 5:00,Central Los Angeles,3.2,1-hr,pphm,18,N/A
4/18/19 6:00,Central Los Angeles,3.3,1-hr,pphm,18,N/A
4/18/19 7:00,Central Los Angeles,3.1,1-hr,pphm,18,N/A
4/18/19 8:00,Central Los Angeles,3,1-hr,pphm,18,N/A
4/18/19 9:00,Central Los Angeles,2.2,1-hr,pphm,18,N/A
4/18/19 10:00,Central Los Angeles,2.3,1-hr,pphm,18,N/A
4/18/19 11:00,Central Los Angeles,2.5,1-hr,pphm,18,N/A
4/18/19 12:00,Central Los Angeles,2.2,1-hr,pphm,18,N/A
4/18/19 13:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/18/19 14:00,Central Los Angeles,1.1,1-hr,pphm,18,N/A
4/18/19 15:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/18/19 16:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/18/19 17:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/18/19 18:00,Central Los Angeles,1.2,1-hr,pphm,18,N/A
4/18/19 19:00,Central Los Angeles,1.5,1-hr,pphm,18,N/A
4/18/19 20:00,Central Los Angeles,1.8,1-hr,pphm,18,N/A
4/18/19 21:00,Central Los Angeles,3.5,1-hr,pphm,18,N/A
4/18/19 22:00,Central Los Angeles,2.5,1-hr,pphm,18,N/A
4/18/19 23:00,Central Los Angeles,1.8,1-hr,pphm,18,N/A
4/19/19 0:00,Central Los Angeles,1.2,1-hr,pphm,18,N/A
4/19/19 1:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/19/19 2:00,Central Los Angeles,1,1-hr,pphm,18,N/A
4/19/19 3:00,Central Los Angeles,1.3,1-hr,pphm,18,N/A
4/19/19 4:00,Central Los Angeles,2.1,1-hr,pphm,18,N/A
4/19/19 5:00,Central Los Angeles,3,1-hr,pphm,18,N/A
4/19/19 6:00,Central Los Angeles,2.7,1-hr,pphm,18,N/A
4/19/19 7:00,Central Los Angeles,2.8,1-hr,pphm,18,N/A
4/19/19 8:00,Central Los Angeles,4,1-hr,pphm,18,N/A
4/19/19 9:00,Central Los Angeles,2.9,1-hr,pphm,18,N/A
4/19/19 10:00,Central Los Angeles,1.5,1-hr,pphm,18,N/A
4/19/19 11:00,Central Los Angeles,1.9,1-hr,pphm,18,N/A
4/19/19 12:00,Central Los Angeles,1.3,1-hr,pphm,18,N/A
4/19/19 13:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/19/19 14:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/19/19 15:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/19/19 16:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/19/19 17:00,Central Los Angeles,1.1,1-hr,pphm,18,N/A
4/19/19 18:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/19/19 19:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/19/19 20:00,Central Los Angeles,1.4,1-hr,pphm,18,N/A
4/19/19 21:00,Central Los Angeles,1.8,1-hr,pphm,18,N/A
4/19/19 22:00,Central Los Angeles,1,1-hr,pphm,18,N/A
4/19/19 23:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/20/19 0:00,Central Los Angeles,0.3,1-hr,pphm,18,N/A
4/20/19 1:00,Central Los Angeles,0.4,1-hr,pphm,18,N/A
4/20/19 2:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/20/19 3:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/20/19 4:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/20/19 5:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/20/19 6:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/20/19 7:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/20/19 8:00,Central Los Angeles,0.5,1-hr,pphm,18,N/A
4/20/19 9:00,Central Los Angeles,0.8,1-hr,pphm,18,N/A
4/20/19 10:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/20/19 11:00,Central Los Angeles,0.9,1-hr,pphm,18,N/A
4/20/19 12:00,Central Los Angeles,0.7,1-hr,pphm,18,N/A
4/20/19 13:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
4/20/19 14:00,Central Los Angeles,0.6,1-hr,pphm,18,N/A
